Gun,Chip,Bib,City,State,Age,Gender
5883,5854,2160,Austin,TX,55,M
5874,5855,7417,Austin,TX,62,M
5875,5855,2849,Garland,TX,48,M
5888,5856,5287,Austin,TX,48,M
5888,5857,2994,Austin,TX,26,M
5877,5860,3304,Spicewood,TX,46,F
5869,5860,6242,Rockville,MD,35,F
5898,5862,545,Round Rock,TX,45,M
5877,5862,867,San Antonio,TX,54,M
5873,5862,5355,Edmond,OK,54,F
5879,5864,4934,New York,NY,33,M
5886,5865,4101,Austin,TX,38,M
5879,5865,5029,Austin,TX,36,M
5900,5865,5388,Dallas,TX,37,M
5898,5865,3779,Austin,TX,48,F
5884,5866,6406,Austin,TX,37,M
5888,5866,3520,Coppell,TX,46,F
5891,5868,469,Georgetown,TX,39,M
5927,5869,1683,Round Rock,TX,17,M
5994,5871,4107,Kyle,TX,33,M
5892,5872,5090,Austin,TX,40,F
5930,5874,6400,London,NONUS,28,M
5915,5876,535,Austin,TX,34,F
5911,5877,7535,Austin,TX,51,M
6083,5878,5754,Leander,TX,30,M
5899,5878,638,Belton,TX,55,M
5903,5882,3951,Austin,TX,52,M
5914,5882,7460,Midland,TX,48,M
5915,5883,3291,Austin,TX,31,M
6020,5883,3074,Spring,TX,36,F
5913,5883,600,Austin,TX,55,M
5917,5885,7273,Dallas,TX,31,M
5917,5887,6072,Austin,TX,41,F
5919,5889,5457,Austin,TX,38,F
5942,5890,6030,Austin Tx 78703,TX,44,F
5904,5890,2600,The Colony,TX,40,M
5943,5890,3363,Austin,TX,56,M
5896,5890,7057,Austin,TX,32,M
5924,5892,2532,Austin,TX,33,F
5945,5893,5983,Austin,TX,35,F
5920,5894,6982,Georgetown,TX,40,F
5932,5894,1503,Austin,TX,35,M
5927,5895,3054,Austin,TX,27,F
5928,5895,7517,Austin,TX,25,M
5928,5896,2476,Austin,TX,51,M
5951,5899,5478,Austin,TX,31,M
5924,5900,3934,Austin,TX,28,M
5936,5901,7067,Round Rock,TX,46,M
5929,5902,2254,Austin,TX,46,M
5912,5903,3524,San Antonio,TX,15,M
5921,5909,1796,Round Rock,TX,50,M
6625,5911,5244,Austin,TX,22,M
5933,5911,5612,Cedar Park,TX,30,F
5943,5912,4008,Austin,NY,30,M
6158,5913,5789,Nolanville,TX,39,M
5993,5915,6037,Mckinney,TX,39,M
6047,5917,5712,Kerrville,TX,36,F
5941,5917,5508,Dallas,TX,40,F
5976,5917,899,Pflugerville,TX,46,M
5963,5919,1056,Richardson,TX,63,M
6334,5920,3588,Austin,TX,53,M
5948,5921,6341,Austin,TX,29,M
6147,5922,4879,Austin,TX,26,M
6002,5923,6026,Carmel,IN,43,M
5948,5923,4025,Austin,TX,28,M
5974,5924,7358,New York,NY,35,M
5962,5925,3728,Austin,TX,34,F
5949,5927,5038,Austin,TX,43,M
5971,5928,7658,New York,NY,30,M
